12/30 08:59:56.581  Gift of the Wild fades from Thefireball.
1/7 20:36:59.913  RABLOG_BAR: 32&mageblood&XHMR&5&15&33&0&& asmlphd
1/7 20:36:59.913  RABLOG_BAR: 33&mageblood&TXXX&2&5&40&0&& as
1/7 20:36:59.913  RABLOG_BAR: 34&flask&THMR&2&14&14&0&& asmlpd
1/7 20:36:59.913  RABLOG_BAR: 35&wisdom&THMR&0&14&0&0&& asmlpd
1/7 20:36:59.913  RABLOG_PLAYERS_WITH: arcanegiants&Tankmedady [Paladin; G1]
1/7 20:36:59.913  RABLOG_PLAYERS_WITHOUT: arcanegiants&Drube [Druid; G1], Voxii [Warrior; G1], Stinkybignob [Shaman; G1], Hooliganscha [Druid; G1], Tugar [Warrior; G2], Poru [Warrior; G2], Cellborne [Rogue; G2], Shamalaharis [Shaman; G2], Saspatoon [Warrior; G2], Thannatos [Rogue; G3], Smallbills [Warlock; G3], Haethem [Rogue; G3], Conrii [Hunter; G3], Thundrix [Shaman; G3], Dezii [Priest; G4], Gurthnar [Mage; G4], Stilltryin [Paladin; G4], Laserbird [Druid; G4], Pendrell [Mage; G4], Mewnfyre [Druid; G5], Soomha [Druid; G5]
1/7 20:36:59.913  RABLOG_PLAYERS_WITH: dreamwater&Tankmedady [Paladin; G1]
1/7 20:36:59.913  RABLOG_PLAYERS_WITHOUT: dreamwater&Stinkybignob [Shaman; G1], Shamalaharis [Shaman; G2], Thundrix [Shaman; G3], Stilltryin [Paladin; G4]
1/7 20:36:59.913  RABLOG_PLAYERS_WITH: emeraldmongoose&Tankmedady [Paladin; G1]
1/7 20:36:59.913  RABLOG_PLAYERS_WITHOUT: emeraldmongoose&Stinkybignob [Shaman; G1], Shamalaharis [Shaman; G2], Thundrix [Shaman; G3], Stilltryin [Paladin; G4]
1/7 20:36:59.913  RABLOG_PLAYERS_WITH: telabimdelight&Dezii [Priest; G4], Laserbird [Druid; G4]
1/7 20:36:59.913  RABLOG_PLAYERS_WITHOUT: telabimdelight&Tankmedady [Paladin; G1], Drube [Druid; G1], Voxii [Warrior; G1], Stinkybignob [Shaman; G1], Hooliganscha [Druid; G1], Tugar [Warrior; G2], Poru [Warrior; G2], Cellborne [Rogue; G2], Shamalaharis [Shaman; G2], Saspatoon [Warrior; G2], Thannatos [Rogue; G3], Smallbills [Warlock; G3], Haethem [Rogue; G3], Conrii [Hunter; G3], Thundrix [Shaman; G3], Gurthnar [Mage; G4], Stilltryin [Paladin; G4], Pendrell [Mage; G4], Mewnfyre [Druid; G5], Soomha [Druid; G5]
1/7 20:36:59.913  RABLOG_PLAYERS_WITHOUT: telabimsurprise&Tankmedady [Paladin; G1], Drube [Druid; G1], Voxii [Warrior; G1], Stinkybignob [Shaman; G1], Hooliganscha [Druid; G1], Tugar [Warrior; G2], Poru [Warrior; G2], Cellborne [Rogue; G2], Shamalaharis [Shaman; G2], Saspatoon [Warrior; G2], Thannatos [Rogue; G3], Smallbills [Warlock; G3], Haethem [Rogue; G3], Conrii [Hunter; G3], Thundrix [Shaman; G3], Dezii [Priest; G4], Gurthnar [Mage; G4], Stilltryin [Paladin; G4], Laserbird [Druid; G4], Pendrell [Mage; G4], Mewnfyre [Druid; G5], Soomha [Druid; G5]
1/7 20:36:59.913  RABLOG_PLAYERS_WITH: dreamshard&Stinkybignob [Shaman; G1], Thundrix [Shaman; G3]
1/7 20:36:59.913  RABLOG_PLAYERS_WITHOUT: dreamshard&Tankmedady [Paladin; G1], Shamalaharis [Shaman; G2], Stilltryin [Paladin; G4]
1/7 20:36:59.913  RABLOG_PLAYERS_WITHOUT: dreamtonic&Stinkybignob [Shaman; G1], Tankmedady [Paladin; G1], Shamalaharis [Shaman; G2], Thundrix [Shaman; G3], Stilltryin [Paladin; G4]
1/7 20:36:59.913  RABLOG_PLAYERS_WITH: giants&Voxii [Warrior; G1], Drube [Druid; G1], Hooliganscha [Druid; G1], Saspatoon [Warrior; G2], Tugar [Warrior; G2]
1/7 20:36:59.913  RABLOG_PLAYERS_WITHOUT: giants&Poru [Warrior; G2], Laserbird [Druid; G4], Mewnfyre [Druid; G5], Soomha [Druid; G5]
1/7 20:36:59.913  RABLOG_PLAYERS_WITHOUT: greaterarcanepower&Drube [Druid; G1], Hooliganscha [Druid; G1], Pendrell [Mage; G4], Gurthnar [Mage; G4], Laserbird [Druid; G4], Mewnfyre [Druid; G5], Soomha [Druid; G5]
1/7 20:36:59.913  RABLOG_PLAYERS_WITHOUT: greaterfirepower&Stinkybignob [Shaman; G1], Shamalaharis [Shaman; G2], Thundrix [Shaman; G3], Smallbills [Warlock; G3], Gurthnar [Mage; G4], Pendrell [Mage; G4]
1/7 20:36:59.913  RABLOG_PLAYERS_WITH: greaterfrostpower&Pendrell [Mage; G4]
1/7 20:36:59.913  RABLOG_PLAYERS_WITHOUT: greaterfrostpower&Stinkybignob [Shaman; G1], Shamalaharis [Shaman; G2], Thundrix [Shaman; G3], Gurthnar [Mage; G4]
1/7 20:36:59.913  RABLOG_PLAYERS_WITHOUT: greaternaturepower&Hooliganscha [Druid; G1], Stinkybignob [Shaman; G1], Drube [Druid; G1], Shamalaharis [Shaman; G2], Thundrix [Shaman; G3], Laserbird [Druid; G4], Mewnfyre [Druid; G5], Soomha [Druid; G5]
1/7 20:36:59.913  RABLOG_PLAYERS_WITH: mongoose&Drube [Druid; G1], Voxii [Warrior; G1], Hooliganscha [Druid; G1], Tugar [Warrior; G2], Poru [Warrior; G2], Cellborne [Rogue; G2], Saspatoon [Warrior; G2], Haethem [Rogue; G3], Conrii [Hunter; G3]
1/7 20:36:59.913  RABLOG_PLAYERS_WITHOUT: mongoose&Tankmedady [Paladin; G1], Stinkybignob [Shaman; G1], Shamalaharis [Shaman; G2], Thannatos [Rogue; G3], Smallbills [Warlock; G3], Thundrix [Shaman; G3], Dezii [Priest; G4], Gurthnar [Mage; G4], Stilltryin [Paladin; G4], Laserbird [Druid; G4], Pendrell [Mage; G4], Mewnfyre [Druid; G5], Soomha [Druid; G5]
1/7 20:36:59.913  RABLOG_PLAYERS_WITH: supdef&Drube [Druid; G1], Hooliganscha [Druid; G1]
1/7 20:36:59.913  RABLOG_PLAYERS_WITHOUT: supdef&Tankmedady [Paladin; G1], Voxii [Warrior; G1], Stinkybignob [Shaman; G1], Tugar [Warrior; G2], Poru [Warrior; G2], Cellborne [Rogue; G2], Shamalaharis [Shaman; G2], Saspatoon [Warrior; G2], Thannatos [Rogue; G3], Smallbills [Warlock; G3], Haethem [Rogue; G3], Conrii [Hunter; G3], Thundrix [Shaman; G3], Dezii [Priest; G4], Gurthnar [Mage; G4], Stilltryin [Paladin; G4], Laserbird [Druid; G4], Pendrell [Mage; G4], Mewnfyre [Druid; G5], Soomha [Druid; G5]
1/7 20:36:59.913  RABLOG_PLAYERS_WITH: shadowpower&Dezii [Priest; G4]
1/7 20:36:59.913  RABLOG_PLAYERS_WITHOUT: shadowpower&Smallbills [Warlock; G3]
1/7 20:36:59.913  RABLOG_PLAYERS_WITH: titans&Tankmedady [Paladin; G1]
1/7 20:36:59.913  RABLOG_PLAYERS_WITHOUT: titans&Drube [Druid; G1], Voxii [Warrior; G1], Stinkybignob [Shaman; G1], Hooliganscha [Druid; G1], Tugar [Warrior; G2], Poru [Warrior; G2], Cellborne [Rogue; G2], Shamalaharis [Shaman; G2], Saspatoon [Warrior; G2], Thannatos [Rogue; G3], Smallbills [Warlock; G3], Haethem [Rogue; G3], Conrii [Hunter; G3], Thundrix [Shaman; G3], Dezii [Priest; G4], Gurthnar [Mage; G4], Stilltryin [Paladin; G4], Laserbird [Druid; G4], Pendrell [Mage; G4], Mewnfyre [Druid; G5], Soomha [Druid; G5]
1/7 20:36:59.913  RABLOG_PLAYERS_WITH: giftarthas&Tankmedady [Paladin; G1], Drube [Druid; G1], Hooliganscha [Druid; G1]
1/7 20:36:59.913  RABLOG_PLAYERS_WITHOUT: giftarthas&Voxii [Warrior; G1], Stinkybignob [Shaman; G1], Tugar [Warrior; G2], Poru [Warrior; G2], Cellborne [Rogue; G2], Shamalaharis [Shaman; G2], Saspatoon [Warrior; G2], Thannatos [Rogue; G3], Smallbills [Warlock; G3], Haethem [Rogue; G3], Conrii [Hunter; G3], Thundrix [Shaman; G3], Dezii [Priest; G4], Gurthnar [Mage; G4], Stilltryin [Paladin; G4], Laserbird [Druid; G4], Pendrell [Mage; G4], Mewnfyre [Druid; G5], Soomha [Druid; G5]
1/7 20:36:59.913  RABLOG_PLAYERS_WITH: greaterarcane&Dezii [Priest; G4], Gurthnar [Mage; G4], Laserbird [Druid; G4], Pendrell [Mage; G4]
1/7 20:36:59.913  RABLOG_PLAYERS_WITHOUT: greaterarcane&Tankmedady [Paladin; G1], Stinkybignob [Shaman; G1], Drube [Druid; G1], Hooliganscha [Druid; G1], Shamalaharis [Shaman; G2], Smallbills [Warlock; G3], Thundrix [Shaman; G3], Stilltryin [Paladin; G4], Soomha [Druid; G5], Mewnfyre [Druid; G5]
1/7 20:36:59.913  RABLOG_PLAYERS_WITH: scorpok&Hooliganscha [Druid; G1], Cellborne [Rogue; G2], Conrii [Hunter; G3]
1/7 20:36:59.913  RABLOG_PLAYERS_WITHOUT: scorpok&Tankmedady [Paladin; G1], Drube [Druid; G1], Voxii [Warrior; G1], Stinkybignob [Shaman; G1], Tugar [Warrior; G2], Poru [Warrior; G2], Shamalaharis [Shaman; G2], Saspatoon [Warrior; G2], Thannatos [Rogue; G3], Smallbills [Warlock; G3], Haethem [Rogue; G3], Thundrix [Shaman; G3], Dezii [Priest; G4], Gurthnar [Mage; G4], Stilltryin [Paladin; G4], Laserbird [Druid; G4], Pendrell [Mage; G4], Mewnfyre [Druid; G5], Soomha [Druid; G5]
1/7 20:36:59.913  RABLOG_PLAYERS_WITHOUT: mushroomstam&Tankmedady [Paladin; G1], Drube [Druid; G1], Voxii [Warrior; G1], Stinkybignob [Shaman; G1], Hooliganscha [Druid; G1], Tugar [Warrior; G2], Poru [Warrior; G2], Cellborne [Rogue; G2], Shamalaharis [Shaman; G2], Saspatoon [Warrior; G2], Thannatos [Rogue; G3], Smallbills [Warlock; G3], Haethem [Rogue; G3], Conrii [Hunter; G3], Thundrix [Shaman; G3], Dezii [Priest; G4], Gurthnar [Mage; G4], Stilltryin [Paladin; G4], Laserbird [Druid; G4], Pendrell [Mage; G4], Mewnfyre [Druid; G5], Soomha [Druid; G5]
1/7 20:36:59.913  RABLOG_PLAYERS_WITHOUT: herbalsalad&Tankmedady [Paladin; G1], Drube [Druid; G1], Voxii [Warrior; G1], Stinkybignob [Shaman; G1], Hooliganscha [Druid; G1], Tugar [Warrior; G2], Poru [Warrior; G2], Cellborne [Rogue; G2], Shamalaharis [Shaman; G2], Saspatoon [Warrior; G2], Thannatos [Rogue; G3], Smallbills [Warlock; G3], Haethem [Rogue; G3], Conrii [Hunter; G3], Thundrix [Shaman; G3], Dezii [Priest; G4], Gurthnar [Mage; G4], Stilltryin [Paladin; G4], Laserbird [Druid; G4], Pendrell [Mage; G4], Mewnfyre [Druid; G5], Soomha [Druid; G5]
1/7 20:36:59.913  RABLOG_PLAYERS_WITHOUT: jujumight&Hooliganscha [Druid; G1], Stinkybignob [Shaman; G1], Voxii [Warrior; G1], Drube [Druid; G1], Poru [Warrior; G2], Shamalaharis [Shaman; G2], Tugar [Warrior; G2], Saspatoon [Warrior; G2], Thundrix [Shaman; G3], Laserbird [Druid; G4], Mewnfyre [Druid; G5], Soomha [Druid; G5]
1/7 20:36:59.913  RABLOG_PLAYERS_WITH: merlot&Hooliganscha [Druid; G1], Dezii [Priest; G4]
1/7 20:36:59.913  RABLOG_PLAYERS_WITHOUT: merlot&Tankmedady [Paladin; G1], Drube [Druid; G1], Voxii [Warrior; G1], Stinkybignob [Shaman; G1], Tugar [Warrior; G2], Poru [Warrior; G2], Cellborne [Rogue; G2], Shamalaharis [Shaman; G2], Saspatoon [Warrior; G2], Thannatos [Rogue; G3], Smallbills [Warlock; G3], Haethem [Rogue; G3], Conrii [Hunter; G3], Thundrix [Shaman; G3], Gurthnar [Mage; G4], Stilltryin [Paladin; G4], Laserbird [Druid; G4], Pendrell [Mage; G4], Mewnfyre [Druid; G5], Soomha [Druid; G5]
1/7 20:36:59.913  RABLOG_PLAYERS_WITHOUT: nightfinsoup&Tankmedady [Paladin; G1], Drube [Druid; G1], Voxii [Warrior; G1], Stinkybignob [Shaman; G1], Hooliganscha [Druid; G1], Tugar [Warrior; G2], Poru [Warrior; G2], Cellborne [Rogue; G2], Shamalaharis [Shaman; G2], Saspatoon [Warrior; G2], Thannatos [Rogue; G3], Smallbills [Warlock; G3], Haethem [Rogue; G3], Conrii [Hunter; G3], Thundrix [Shaman; G3], Dezii [Priest; G4], Gurthnar [Mage; G4], Stilltryin [Paladin; G4], Laserbird [Druid; G4], Pendrell [Mage; G4], Mewnfyre [Druid; G5], Soomha [Druid; G5]
1/7 20:36:59.913  RABLOG_PLAYERS_WITH: roids&Drube [Druid; G1], Saspatoon [Warrior; G2]
1/7 20:36:59.913  RABLOG_PLAYERS_WITHOUT: roids&Tankmedady [Paladin; G1], Voxii [Warrior; G1], Stinkybignob [Shaman; G1], Hooliganscha [Druid; G1], Tugar [Warrior; G2], Poru [Warrior; G2], Cellborne [Rogue; G2], Shamalaharis [Shaman; G2], Thannatos [Rogue; G3], Smallbills [Warlock; G3], Haethem [Rogue; G3], Conrii [Hunter; G3], Thundrix [Shaman; G3], Dezii [Priest; G4], Gurthnar [Mage; G4], Stilltryin [Paladin; G4], Laserbird [Druid; G4], Pendrell [Mage; G4], Mewnfyre [Druid; G5], Soomha [Druid; G5]
1/7 20:36:59.913  RABLOG_PLAYERS_WITH: rumseyrum&Hooliganscha [Druid; G1], Dezii [Priest; G4]
1/7 20:36:59.913  RABLOG_PLAYERS_WITHOUT: rumseyrum&Tankmedady [Paladin; G1], Drube [Druid; G1], Voxii [Warrior; G1], Stinkybignob [Shaman; G1], Tugar [Warrior; G2], Poru [Warrior; G2], Cellborne [Rogue; G2], Shamalaharis [Shaman; G2], Saspatoon [Warrior; G2], Thannatos [Rogue; G3], Smallbills [Warlock; G3], Haethem [Rogue; G3], Conrii [Hunter; G3], Thundrix [Shaman; G3], Gurthnar [Mage; G4], Stilltryin [Paladin; G4], Laserbird [Druid; G4], Pendrell [Mage; G4], Mewnfyre [Druid; G5], Soomha [Druid; G5]
1/7 20:36:59.913  RABLOG_PLAYERS_WITH: firewater&Hooliganscha [Druid; G1], Voxii [Warrior; G1], Drube [Druid; G1], Tugar [Warrior; G2], Saspatoon [Warrior; G2]
1/7 20:36:59.913  RABLOG_PLAYERS_WITHOUT: firewater&Stinkybignob [Shaman; G1], Poru [Warrior; G2], Shamalaharis [Shaman; G2], Thundrix [Shaman; G3], Laserbird [Druid; G4], Mewnfyre [Druid; G5], Soomha [Druid; G5]
1/7 20:36:59.913  RABLOG_PLAYERS_WITH: spiritofzanza&Tankmedady [Paladin; G1], Drube [Druid; G1], Stinkybignob [Shaman; G1], Hooliganscha [Druid; G1], Cellborne [Rogue; G2], Shamalaharis [Shaman; G2], Smallbills [Warlock; G3], Conrii [Hunter; G3], Dezii [Priest; G4], Gurthnar [Mage; G4], Laserbird [Druid; G4], Mewnfyre [Druid; G5], Soomha [Druid; G5]
1/7 20:36:59.913  RABLOG_PLAYERS_WITHOUT: spiritofzanza&Voxii [Warrior; G1], Tugar [Warrior; G2], Poru [Warrior; G2], Saspatoon [Warrior; G2], Thannatos [Rogue; G3], Haethem [Rogue; G3], Thundrix [Shaman; G3], Stilltryin [Paladin; G4], Pendrell [Mage; G4]
1/7 20:36:59.913  RABLOG_PLAYERS_WITH: merlotblue&Hooliganscha [Druid; G1], Dezii [Priest; G4]
1/7 20:36:59.913  RABLOG_PLAYERS_WITHOUT: merlotblue&Tankmedady [Paladin; G1], Drube [Druid; G1], Voxii [Warrior; G1], Stinkybignob [Shaman; G1], Tugar [Warrior; G2], Poru [Warrior; G2], Cellborne [Rogue; G2], Shamalaharis [Shaman; G2], Saspatoon [Warrior; G2], Thannatos [Rogue; G3], Smallbills [Warlock; G3], Haethem [Rogue; G3], Conrii [Hunter; G3], Thundrix [Shaman; G3], Gurthnar [Mage; G4], Stilltryin [Paladin; G4], Laserbird [Druid; G4], Pendrell [Mage; G4], Mewnfyre [Druid; G5], Soomha [Druid; G5]
1/7 20:36:59.913  RABLOG_PLAYERS_WITH: mushroomstr&Voxii [Warrior; G1], Saspatoon [Warrior; G2]
1/7 20:36:59.913  RABLOG_PLAYERS_WITHOUT: mushroomstr&Tankmedady [Paladin; G1], Drube [Druid; G1], Stinkybignob [Shaman; G1], Hooliganscha [Druid; G1], Tugar [Warrior; G2], Poru [Warrior; G2], Cellborne [Rogue; G2], Shamalaharis [Shaman; G2], Thannatos [Rogue; G3], Smallbills [Warlock; G3], Haethem [Rogue; G3], Conrii [Hunter; G3], Thundrix [Shaman; G3], Dezii [Priest; G4], Gurthnar [Mage; G4], Stilltryin [Paladin; G4], Laserbird [Druid; G4], Pendrell [Mage; G4], Mewnfyre [Druid; G5], Soomha [Druid; G5]
1/7 20:36:59.913  RABLOG_PLAYERS_WITHOUT: cerebralcortex&Tankmedady [Paladin; G1], Drube [Druid; G1], Stinkybignob [Shaman; G1], Hooliganscha [Druid; G1], Shamalaharis [Shaman; G2], Conrii [Hunter; G3], Smallbills [Warlock; G3], Thundrix [Shaman; G3], Laserbird [Druid; G4], Stilltryin [Paladin; G4], Pendrell [Mage; G4], Gurthnar [Mage; G4], Dezii [Priest; G4], Soomha [Druid; G5], Mewnfyre [Druid; G5]
1/7 20:36:59.913  RABLOG_PLAYERS_WITH: mageblood&Tankmedady [Paladin; G1], Conrii [Hunter; G3], Thundrix [Shaman; G3], Pendrell [Mage; G4], Dezii [Priest; G4]
1/7 20:36:59.913  RABLOG_PLAYERS_WITHOUT: mageblood&Drube [Druid; G1], Stinkybignob [Shaman; G1], Hooliganscha [Druid; G1], Shamalaharis [Shaman; G2], Smallbills [Warlock; G3], Laserbird [Druid; G4], Stilltryin [Paladin; G4], Gurthnar [Mage; G4], Soomha [Druid; G5], Mewnfyre [Druid; G5]
1/7 20:36:59.913  RABLOG_PLAYERS_WITH: mageblood&Tankmedady [Paladin; G1], Thundrix [Shaman; G3]
1/7 20:36:59.913  RABLOG_PLAYERS_WITHOUT: mageblood&Stinkybignob [Shaman; G1], Shamalaharis [Shaman; G2], Stilltryin [Paladin; G4]
1/7 20:36:59.913  RABLOG_PLAYERS_WITH: flask&Dezii [Priest; G4], Pendrell [Mage; G4]
1/7 20:36:59.913  RABLOG_PLAYERS_WITHOUT: flask&Tankmedady [Paladin; G1], Stinkybignob [Shaman; G1], Drube [Druid; G1], Hooliganscha [Druid; G1], Shamalaharis [Shaman; G2], Smallbills [Warlock; G3], Thundrix [Shaman; G3], Stilltryin [Paladin; G4], Gurthnar [Mage; G4], Laserbird [Druid; G4], Soomha [Druid; G5], Mewnfyre [Druid; G5]
1/7 20:36:59.913  RABLOG_PLAYERS_WITHOUT: wisdom&Tankmedady [Paladin; G1], Stinkybignob [Shaman; G1], Drube [Druid; G1], Hooliganscha [Druid; G1], Shamalaharis [Shaman; G2], Smallbills [Warlock; G3], Thundrix [Shaman; G3], Stilltryin [Paladin; G4], Dezii [Priest; G4], Gurthnar [Mage; G4], Laserbird [Druid; G4], Pendrell [Mage; G4], Soomha [Druid; G5], Mewnfyre [Druid; G5]
1/7 20:36:59.913  RABLOG_END: 7
1/7 21:20:28.662  RABLOG_PULL: 2026-01-07 21:20:28&21:20:28&06:20&7&OGRH_Consumables&Tankmedady&Nordanaar&Drube&RAID/18&Onyxia
1/7 21:20:28.662  RABLOG_BAR: 1&arcanegiants&TXMX&1&18&5&0&&
1/7 21:20:28.662  RABLOG_BAR: 2&dreamwater&TXMX&0&4&0&0&& as
1/7 21:20:28.662  RABLOG_BAR: 3&emeraldmongoose&TXMX&1&4&25&0&& as
1/7 21:20:28.662  RABLOG_BAR: 4&telabimdelight&THMR&0&18&0&0&&
1/7 21:20:28.662  RABLOG_BAR: 5&telabimsurprise&THMR&0&18&0&0&&
1/7 21:20:28.662  RABLOG_BAR: 6&dreamshard&THMR&1&4&25&0&& as
1/7 21:20:28.662  RABLOG_BAR: 7&dreamtonic&TXMR&1&4&25&0&& as
1/7 21:20:28.662  RABLOG_BAR: 8&giants&TXMR&5&6&83&0&& wd
1/7 21:20:28.662  RABLOG_BAR: 9&greaterarcanepower&TXMR&0&4&0&0&& md
1/7 21:20:28.662  RABLOG_BAR: 10&greaterfirepower&TXMR&0&5&0&0&& sml
1/7 21:20:28.662  RABLOG_BAR: 11&greaterfrostpower&TXMR&1&4&25&0&& sm
1/7 21:20:28.662  RABLOG_BAR: 12&greaternaturepower&TXMR&0&6&0&0&& sd
1/7 21:20:28.662  RABLOG_BAR: 13&mongoose&TXMR&7&18&38&0&&
1/7 21:20:28.662  RABLOG_BAR: 14&supdef&TXXX&2&18&11&0&&
1/7 21:20:28.662  RABLOG_BAR: 15&shadowpower&TXMR&0&3&0&0&& lp
1/7 21:20:28.662  RABLOG_BAR: 16&titans&THMR&1&18&5&0&&
1/7 21:20:28.662  RABLOG_BAR: 17&giftarthas&TXXX&3&18&16&0&&
1/7 21:20:28.662  RABLOG_BAR: 18&greaterarcane&TXMR&2&11&18&0&& asmlpd
1/7 21:20:28.662  RABLOG_BAR: 19&scorpok&TXMR&3&18&16&0&&
1/7 21:20:28.662  RABLOG_BAR: 20&mushroomstam&THMR&0&18&0&0&&
1/7 21:20:28.662  RABLOG_BAR: 21&herbalsalad&THMR&0&18&0&0&&
1/7 21:20:28.662  RABLOG_BAR: 22&jujumight&TXMR&0&9&0&0&& wsd
1/7 21:20:28.662  RABLOG_BAR: 23&merlot&THMR&0&18&0&0&&
1/7 21:20:28.662  RABLOG_BAR: 24&nightfinsoup&THMR&0&18&0&0&&
1/7 21:20:28.662  RABLOG_BAR: 25&roids&TXMR&2&18&11&0&&
1/7 21:20:28.662  RABLOG_BAR: 26&rumseyrum&THMR&0&18&0&0&&
1/7 21:20:28.662  RABLOG_BAR: 27&firewater&TXMR&2&9&22&0&& wsd
1/7 21:20:28.662  RABLOG_BAR: 28&spiritofzanza&THMR&9&18&50&0&&
1/7 21:20:28.662  RABLOG_BAR: 29&merlotblue&THMR&0&18&0&0&&
1/7 21:20:28.662  RABLOG_BAR: 30&mushroomstr&THMR&2&18&11&0&&
1/7 21:20:28.662  RABLOG_BAR: 31&cerebralcortex&THMR&0&13&0&0&& asmlphd
1/7 21:20:28.662  RABLOG_BAR: 32&mageblood&XHMR&6&13&46&0&& asmlphd
1/7 21:20:28.662  RABLOG_BAR: 33&mageblood&TXXX&3&4&75&0&& as
1/7 21:20:28.662  RABLOG_BAR: 34&flask&THMR&2&11&18&0&& asmlpd
1/7 21:20:28.662  RABLOG_BAR: 35&wisdom&THMR&0&11&0&0&& asmlpd
1/7 21:20:28.662  RABLOG_PLAYERS_WITH: arcanegiants&Tankmedady [Paladin; G1]
1/7 21:20:28.662  RABLOG_PLAYERS_WITHOUT: arcanegiants&Voxii [Warrior; G1], Thundrix [Shaman; G1], Hooliganscha [Druid; G1], Drube [Druid; G1], Conrii [Hunter; G2], Tugar [Warrior; G2], Saspatoon [Warrior; G2], Shamalaharis [Shaman; G2], Cellborne [Rogue; G2], Holeefyre [Priest; G3], Asspocalypse [Hunter; G3], Thannatos [Rogue; G3], Zhwalter [Shaman; G3], Smallbills [Warlock; G4], Dezii [Priest; G4], Royalseedpod [Druid; G4], Pendrell [Mage; G4]
1/7 21:20:28.662  RABLOG_PLAYERS_WITHOUT: dreamwater&Tankmedady [Paladin; G1], Thundrix [Shaman; G1], Shamalaharis [Shaman; G2], Zhwalter [Shaman; G3]
1/7 21:20:28.662  RABLOG_PLAYERS_WITH: emeraldmongoose&Tankmedady [Paladin; G1]
1/7 21:20:28.662  RABLOG_PLAYERS_WITHOUT: emeraldmongoose&Thundrix [Shaman; G1], Shamalaharis [Shaman; G2], Zhwalter [Shaman; G3]
1/7 21:20:28.662  RABLOG_PLAYERS_WITHOUT: telabimdelight&Tankmedady [Paladin; G1], Voxii [Warrior; G1], Thundrix [Shaman; G1], Hooliganscha [Druid; G1], Drube [Druid; G1], Conrii [Hunter; G2], Tugar [Warrior; G2], Saspatoon [Warrior; G2], Shamalaharis [Shaman; G2], Cellborne [Rogue; G2], Holeefyre [Priest; G3], Asspocalypse [Hunter; G3], Thannatos [Rogue; G3], Zhwalter [Shaman; G3], Smallbills [Warlock; G4], Dezii [Priest; G4], Royalseedpod [Druid; G4], Pendrell [Mage; G4]
1/7 21:20:28.662  RABLOG_PLAYERS_WITHOUT: telabimsurprise&Tankmedady [Paladin; G1], Voxii [Warrior; G1], Thundrix [Shaman; G1], Hooliganscha [Druid; G1], Drube [Druid; G1], Conrii [Hunter; G2], Tugar [Warrior; G2], Saspatoon [Warrior; G2], Shamalaharis [Shaman; G2], Cellborne [Rogue; G2], Holeefyre [Priest; G3], Asspocalypse [Hunter; G3], Thannatos [Rogue; G3], Zhwalter [Shaman; G3], Smallbills [Warlock; G4], Dezii [Priest; G4], Royalseedpod [Druid; G4], Pendrell [Mage; G4]
1/7 21:20:28.662  RABLOG_PLAYERS_WITH: dreamshard&Shamalaharis [Shaman; G2]
1/7 21:20:28.662  RABLOG_PLAYERS_WITHOUT: dreamshard&Tankmedady [Paladin; G1], Thundrix [Shaman; G1], Zhwalter [Shaman; G3]
1/7 21:20:28.662  RABLOG_PLAYERS_WITH: dreamtonic&Zhwalter [Shaman; G3]
1/7 21:20:28.662  RABLOG_PLAYERS_WITHOUT: dreamtonic&Tankmedady [Paladin; G1], Thundrix [Shaman; G1], Shamalaharis [Shaman; G2]
1/7 21:20:28.662  RABLOG_PLAYERS_WITH: giants&Voxii [Warrior; G1], Hooliganscha [Druid; G1], Drube [Druid; G1], Saspatoon [Warrior; G2], Tugar [Warrior; G2]
1/7 21:20:28.662  RABLOG_PLAYERS_WITHOUT: giants&Royalseedpod [Druid; G4]
1/7 21:20:28.662  RABLOG_PLAYERS_WITHOUT: greaterarcanepower&Hooliganscha [Druid; G1], Drube [Druid; G1], Pendrell [Mage; G4], Royalseedpod [Druid; G4]
1/7 21:20:28.662  RABLOG_PLAYERS_WITHOUT: greaterfirepower&Thundrix [Shaman; G1], Shamalaharis [Shaman; G2], Zhwalter [Shaman; G3], Smallbills [Warlock; G4], Pendrell [Mage; G4]
1/7 21:20:28.662  RABLOG_PLAYERS_WITH: greaterfrostpower&Pendrell [Mage; G4]
1/7 21:20:28.662  RABLOG_PLAYERS_WITHOUT: greaterfrostpower&Thundrix [Shaman; G1], Shamalaharis [Shaman; G2], Zhwalter [Shaman; G3]
1/7 21:20:28.662  RABLOG_PLAYERS_WITHOUT: greaternaturepower&Hooliganscha [Druid; G1], Drube [Druid; G1], Thundrix [Shaman; G1], Shamalaharis [Shaman; G2], Zhwalter [Shaman; G3], Royalseedpod [Druid; G4]
1/7 21:20:28.662  RABLOG_PLAYERS_WITH: mongoose&Voxii [Warrior; G1], Hooliganscha [Druid; G1], Drube [Druid; G1], Conrii [Hunter; G2], Tugar [Warrior; G2], Saspatoon [Warrior; G2], Cellborne [Rogue; G2]
1/7 21:20:28.662  RABLOG_PLAYERS_WITHOUT: mongoose&Tankmedady [Paladin; G1], Thundrix [Shaman; G1], Shamalaharis [Shaman; G2], Holeefyre [Priest; G3], Asspocalypse [Hunter; G3], Thannatos [Rogue; G3], Zhwalter [Shaman; G3], Smallbills [Warlock; G4], Dezii [Priest; G4], Royalseedpod [Druid; G4], Pendrell [Mage; G4]
1/7 21:20:28.662  RABLOG_PLAYERS_WITH: supdef&Hooliganscha [Druid; G1], Drube [Druid; G1]
